,Date,Price
164,2010-08-27,8.62928581237793
165,2010-08-30,8.660714149475098
166,2010-08-31,8.682143211364746
167,2010-09-01,8.940357208251953
168,2010-09-02,9.006071090698242
169,2010-09-03,9.241786003112793
170,2010-09-07,9.207500457763672
171,2010-09-08,9.390000343322754
172,2010-09-09,9.395357131958008
173,2010-09-10,9.407500267028809
174,2010-09-13,9.537142753601074
175,2010-09-14,9.57357120513916
176,2010-09-15,9.650713920593262
177,2010-09-16,9.8774995803833
178,2010-09-17,9.834643363952637
179,2010-09-20,10.115357398986816
180,2010-09-21,10.134642601013184
181,2010-09-22,10.276785850524902
182,2010-09-23,10.318571090698242
183,2010-09-24,10.4399995803833
184,2010-09-27,10.398571014404297
185,2010-09-28,10.244999885559082
186,2010-09-29,10.263214111328125
187,2010-09-30,10.133929252624512
