,close,30,90,180,360
BIIB,219.0800018310547,-10.678029104738297,-2.039471007229987,-15.47386151551594,-19.43514590821136
BIO,340.5199890136719,11.968957806427106,9.810939027229715,-13.805428074760574,-27.26418610090422
BK,55.150001525878906,1.3073382087856134,18.04722363938098,25.984985124327387,13.361975107830082
BKNG,3716.840087890625,6.502770620855514,19.628734936906955,22.2297107388175,53.240792699848114
BKR,29.149999618530273,-4.637276784669675,-12.748296908189483,-17.116841309506768,-0.7680656817836029
BLDR,183.7899932861328,11.6449998405715,39.92065520846826,39.2053053356052,139.40341451445417
BLK,794.0,0.8343608175112927,12.068648979444907,18.817910820412752,17.41178634584506
BMY,49.86000061035156,-0.24009390352907056,-1.625154038045451,-19.498295052653404,-27.230651526321846
BR,197.9199981689453,-1.9955428770467964,8.98966300630677,10.686582447885362,41.180976111131116
BRK.B,,,,,
